epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8539,1.73614,2.53276,1.83081,0.45918,0.24785,0.23683,0.09159,2.08384,2.64151,2.17423,0.000368887,0.000368887,0.000368887
2,42.2561,1.8249,2.1649,1.8984,0.58564,0.17829,0.15841,0.05695,2.19416,2.63818,2.30251,0.000731902,0.000731902,0.000731902
3,62.6053,1.77694,2.12796,1.88195,0.48705,0.29338,0.23533,0.08069,2.10711,2.89101,2.25342,0.00108758,0.00108758,0.00108758
4,82.3731,1.76537,2.08344,1.87161,0.56893,0.36961,0.37892,0.18046,1.9877,2.06733,2.08154,0.001078,0.001078,0.001078
5,102.357,1.69665,1.99875,1.80658,0.58211,0.34012,0.337,0.14856,1.92569,1.88112,2.04041,0.001067,0.001067,0.001067
6,125.531,1.69296,1.92536,1.79435,0.60464,0.44784,0.43221,0.1816,1.8739,1.77426,1.9662,0.00105601,0.00105601,0.00105601
7,145.989,1.63323,1.84521,1.75619,0.45001,0.50442,0.47385,0.20663,1.79622,1.64026,1.9282,0.00104501,0.00104501,0.00104501
8,166.145,1.63519,1.82415,1.74767,0.52141,0.47523,0.46934,0.22361,1.80349,1.66143,1.88467,0.00103401,0.00103401,0.00103401
9,186.031,1.5909,1.75754,1.70336,0.46631,0.39355,0.38122,0.16787,1.9152,1.75774,1.94928,0.00102301,0.00102301,0.00102301
10,206.59,1.59164,1.74853,1.71401,0.51743,0.45005,0.48623,0.23239,1.77763,1.51038,1.86833,0.00101201,0.00101201,0.00101201
11,227.003,1.55919,1.68301,1.69003,0.54223,0.49676,0.48458,0.23894,1.76559,1.66417,1.92188,0.00100101,0.00100101,0.00100101
12,246.964,1.54939,1.66274,1.68175,0.53579,0.48065,0.51853,0.25852,1.68879,1.43089,1.80765,0.000990012,0.000990012,0.000990012
13,267.035,1.52641,1.63601,1.66237,0.54467,0.47627,0.497,0.24613,1.71071,1.45979,1.8052,0.000979013,0.000979013,0.000979013
14,286.783,1.51745,1.6055,1.64425,0.71915,0.4665,0.49257,0.24307,1.6841,1.40579,1.81602,0.000968014,0.000968014,0.000968014
15,306.597,1.48846,1.56107,1.64255,0.58737,0.59181,0.56664,0.28001,1.67229,1.3275,1.76111,0.000957015,0.000957015,0.000957015
16,326.544,1.49664,1.55638,1.63239,0.60431,0.54435,0.55477,0.27067,1.66053,1.33472,1.77583,0.000946016,0.000946016,0.000946016
